filename,compound,neg,neu,pos,VERB,NOUN,PRON,ADJ,ADV,ADP,CONJ,DET,NUM,PRT,X,.,perc_not_in_aspell,avg_suggestion_length,entities_per_sentence,entities_per_word,avg_tree_height
clueweb12-0003wb-09-30717,-0.46,0.24,0.71,0.05,0.19,0.27,0.04,0.07,0.04,0.11,0.04,0.06,0.00,0.05,0.00,0.11,0.03,40.25,0.93,0.05,2.73
clueweb12-0902wb-86-13897,-0.00,0.05,0.91,0.04,0.13,0.32,0.01,0.10,0.05,0.12,0.04,0.11,0.00,0.02,0.00,0.11,0.07,19.45,0.59,0.04,2.52
clueweb12-1306wb-34-16768,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1607wb-16-10919,-0.10,0.10,0.82,0.08,0.05,0.42,0.00,0.13,0.01,0.14,0.04,0.06,0.02,0.02,0.00,0.10,0.18,20.48,8.89,0.06,2.89
clueweb12-0905wb-58-26686,0.13,0.02,0.91,0.07,0.11,0.31,0.03,0.13,0.03,0.12,0.02,0.12,0.01,0.02,0.00,0.09,0.08,18.59,0.31,0.01,2.26
clueweb12-0603wb-06-08511,0.92,0.00,0.72,0.28,0.09,0.23,0.02,0.20,0.02,0.18,0.04,0.07,0.00,0.00,0.00,0.16,0.09,24.80,1.00,0.02,3.00
clueweb12-1205wb-63-15652,0.04,0.05,0.86,0.08,0.13,0.32,0.05,0.06,0.05,0.12,0.02,0.08,0.03,0.02,0.00,0.12,0.13,32.58,1.62,0.06,2.69
clueweb12-0108wb-66-34398,0.06,0.00,0.97,0.03,0.16,0.40,0.00,0.07,0.01,0.09,0.06,0.08,0.00,0.02,0.00,0.11,0.06,10.00,2.50,0.11,3.00
clueweb12-1404wb-83-19966,-0.18,0.16,0.79,0.06,0.19,0.23,0.10,0.06,0.06,0.09,0.05,0.09,0.00,0.03,0.00,0.10,0.05,29.62,0.16,0.01,2.09
clueweb12-1006wb-56-05318,-0.13,0.12,0.82,0.07,0.18,0.25,0.05,0.10,0.04,0.11,0.04,0.08,0.02,0.03,0.00,0.10,0.02,27.58,0.21,0.01,2.20
clueweb12-0608wb-54-14810,0.13,0.01,0.95,0.04,0.09,0.28,0.02,0.10,0.02,0.15,0.04,0.18,0.01,0.01,0.00,0.11,0.09,24.06,0.77,0.02,2.56
clueweb12-1704wb-30-13861,-0.35,0.13,0.86,0.01,0.14,0.32,0.04,0.04,0.03,0.08,0.02,0.09,0.03,0.02,0.00,0.19,0.10,25.50,1.76,0.05,2.60
clueweb12-0111wb-57-34538,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0400wb-46-03154,-0.12,0.09,0.86,0.05,0.17,0.29,0.02,0.08,0.04,0.11,0.03,0.10,0.02,0.03,0.00,0.11,0.07,24.26,0.82,0.04,2.55
clueweb12-0605wb-88-20154,0.03,0.06,0.86,0.08,0.18,0.25,0.06,0.09,0.04,0.12,0.03,0.08,0.01,0.03,0.00,0.11,0.04,18.72,0.26,0.01,2.22
clueweb12-1105wb-61-00106,0.26,0.04,0.81,0.15,0.19,0.22,0.05,0.11,0.06,0.12,0.02,0.08,0.01,0.04,0.00,0.09,0.01,19.12,0.29,0.01,2.23
clueweb12-0102wb-08-23208,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0012wb-61-00463,-0.01,0.03,0.93,0.03,0.12,0.32,0.02,0.11,0.03,0.11,0.05,0.09,0.01,0.01,0.00,0.13,0.10,19.72,0.76,0.03,2.44
clueweb12-0109wb-80-28302,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0510wb-79-24899,0.10,0.03,0.92,0.06,0.14,0.35,0.01,0.10,0.02,0.11,0.04,0.08,0.03,0.02,0.00,0.11,0.08,27.89,0.84,0.04,2.58
clueweb12-0800wb-22-05286,0.02,0.00,0.97,0.03,0.11,0.43,0.07,0.03,0.01,0.12,0.00,0.08,0.03,0.03,0.00,0.08,0.10,23.57,2.00,0.11,3.00
clueweb12-0509wb-88-32124,0.29,0.02,0.81,0.17,0.18,0.26,0.01,0.08,0.04,0.10,0.05,0.12,0.01,0.03,0.00,0.11,0.02,33.86,0.24,0.01,2.24
clueweb12-0201wb-43-27288,-0.14,0.08,0.88,0.04,0.16,0.26,0.02,0.09,0.04,0.10,0.03,0.12,0.03,0.02,0.00,0.12,0.07,28.87,0.79,0.04,2.57
clueweb12-0818wb-64-22518,0.25,0.00,0.90,0.10,0.18,0.18,0.18,0.04,0.05,0.12,0.03,0.09,0.00,0.02,0.00,0.12,0.02,2.50,0.00,0.00,2.00
clueweb12-1214wb-81-12313,0.22,0.06,0.80,0.14,0.15,0.27,0.04,0.09,0.02,0.15,0.05,0.13,0.00,0.03,0.00,0.07,0.01,31.00,1.29,0.06,2.86
clueweb12-1414wb-16-11386,-0.36,0.39,0.60,0.01,0.14,0.33,0.03,0.11,0.01,0.11,0.04,0.10,0.01,0.01,0.00,0.10,0.10,17.29,0.00,0.00,2.00
clueweb12-1904wb-50-02430,-0.15,0.11,0.86,0.03,0.20,0.24,0.06,0.09,0.05,0.08,0.05,0.08,0.00,0.02,0.00,0.14,0.02,17.50,0.12,0.01,2.12
clueweb12-0302wb-44-19718,-0.02,0.07,0.88,0.06,0.17,0.30,0.01,0.10,0.04,0.14,0.04,0.09,0.01,0.03,0.00,0.08,0.08,21.52,1.34,0.03,2.62
