filename,lm_simplewiki,lm_enwiki
clueweb12-1414wb-83-06172,-4604.660,-4783.520
clueweb12-1706wb-79-09204,-1974.064,-2049.431
clueweb12-0406wb-12-03376,-1489.675,-1626.641
clueweb12-1700wb-61-24943,0.000,0.000
clueweb12-0601wb-52-31113,-461.803,-484.321
clueweb12-0007wb-15-01723,-2525.979,-2620.372
clueweb12-0204wb-62-02123,-3888.421,-4039.105
clueweb12-0103wb-88-03488,-26417.174,-26658.832
clueweb12-1114wb-84-19394,-2132.991,-2259.685
clueweb12-1408wb-98-23394,-25248.713,-26903.686
clueweb12-1714wb-47-29421,-6332.950,-6521.603
clueweb12-1504wb-31-02323,-18277.322,-19568.348
clueweb12-0210wb-31-25524,-5645.429,-5872.104
clueweb12-1315wb-92-05106,-2824.625,-2855.388
clueweb12-1805wb-87-31979,-1605.850,-1705.367
clueweb12-0013wb-82-21639,-4125.830,-4341.409
clueweb12-0700tw-59-04320,-1952.123,-2022.160
clueweb12-1807wb-70-19821,0.000,0.000
clueweb12-0101wb-57-00895,-1499.248,-1544.317
clueweb12-0300wb-48-15629,-100043.266,-106849.883
clueweb12-1813wb-27-19918,-2423.443,-2510.503
clueweb12-1102wb-32-11038,-38204.727,-41003.008
clueweb12-1705wb-98-18260,-2356.836,-2499.056
clueweb12-0208wb-26-10895,-6211.092,-6490.104
clueweb12-1005wb-16-08923,-331.484,-349.883
clueweb12-1501wb-40-28266,-2249.764,-2276.371
clueweb12-0207wb-42-15352,-454.569,-484.618
clueweb12-0000wb-33-26607,0.000,0.000
clueweb12-0103wb-00-13076,-6383.906,-6425.094
clueweb12-1200wb-96-17029,-6478.194,-6965.309
clueweb12-0103wb-34-15662,-12048.134,-12202.866
clueweb12-0808wb-94-07743,-620.578,-620.248
clueweb12-0201wb-35-33177,-1613.086,-1656.732
clueweb12-0703wb-93-13969,-1708.014,-1853.507
clueweb12-0210wb-99-03248,-684.384,-764.217
clueweb12-0700wb-29-05624,-359.833,-382.594
clueweb12-0805wb-52-19872,-30665.758,-31478.154
clueweb12-1710wb-64-16650,-2053.565,-2087.047
clueweb12-1901wb-31-18149,0.000,0.000
clueweb12-1206wb-90-05324,-1577.748,-1633.295
clueweb12-0200tw-75-15354,-2905.522,-3175.141
clueweb12-0208wb-13-07246,-11975.503,-11982.493
clueweb12-1714wb-56-14463,-1088.267,-1132.318
clueweb12-1702wb-44-24026,-11372.135,-12001.881
clueweb12-0011wb-84-21846,-4040.991,-4221.773
clueweb12-0208wb-26-30017,-2523.757,-2545.477
clueweb12-0606wb-70-14585,-4405.322,-4559.536
clueweb12-1501wb-32-02577,0.000,0.000
clueweb12-0209wb-12-02455,-1351.741,-1435.749
clueweb12-0009wb-89-09859,-28956.408,-29738.934
clueweb12-0111wb-23-24817,-19036.217,-20529.861
clueweb12-1809wb-00-09021,-1540.831,-1627.485
clueweb12-1503wb-69-02029,-196.689,-209.004
clueweb12-1803wb-37-12247,0.000,0.000
clueweb12-0001wb-53-08246,-418.795,-412.152
clueweb12-0207wb-59-02791,-2017.191,-2089.348
clueweb12-0918wb-19-10221,0.000,0.000
clueweb12-1007wb-41-22849,-554.261,-557.401
clueweb12-0500wb-21-23757,-8594.772,-8711.144
clueweb12-1500wb-14-18056,-21039.799,-21665.281
clueweb12-1705wb-88-29147,-863.827,-858.594
clueweb12-1901wb-32-18227,-2904.295,-2892.874
clueweb12-0000tw-25-17829,-27814.160,-29836.041
clueweb12-0102wb-48-10340,-1183.963,-1236.876
clueweb12-0112wb-41-22903,-3193.261,-3254.502
clueweb12-1606wb-85-09686,-3085.887,-3206.740
clueweb12-1604wb-36-17849,-412.116,-412.647
clueweb12-0208wb-99-00909,-12377.824,-13288.454
clueweb12-1118wb-80-07238,0.000,0.000
clueweb12-1606wb-61-15146,-753.404,-795.910
clueweb12-1514wb-43-06636,-6176.839,-6359.430
clueweb12-0012wb-54-18363,-3641.422,-3798.370
clueweb12-0203wb-89-08936,-401.940,-428.652
clueweb12-1402wb-72-06254,-1528.592,-1610.779
clueweb12-1007wb-90-20326,-22860.553,-23781.178
clueweb12-1507wb-19-04653,-6675.105,-6911.099
clueweb12-1807wb-24-14673,-12916.065,-13451.729
clueweb12-1702wb-38-04611,0.000,0.000
clueweb12-0100wb-56-18168,0.000,0.000
clueweb12-1100wb-88-02252,0.000,0.000
clueweb12-0110wb-05-27489,-15549.171,-15991.849
clueweb12-1406wb-17-17302,-305.450,-336.699
clueweb12-1410wb-67-02350,-594.421,-587.842
clueweb12-0818wb-42-07786,0.000,0.000
clueweb12-0910wb-04-16125,-2309.608,-2437.809
clueweb12-1614wb-61-20876,0.000,0.000
clueweb12-1712wb-25-02917,-987.690,-1045.703
clueweb12-1316wb-39-10520,-1244.664,-1300.742
clueweb12-0304wb-37-32503,-7165.519,-7324.491
clueweb12-1400tw-72-17968,-393.605,-441.001
clueweb12-1609wb-45-15938,-14355.312,-15146.986
clueweb12-1715wb-55-01605,0.000,0.000
clueweb12-0012wb-34-03842,-1017.654,-998.367
clueweb12-0007wb-13-21745,-5931.320,-6392.438
clueweb12-0211wb-49-23724,-286.786,-304.501
clueweb12-1606wb-94-00055,-9889.334,-10359.967
clueweb12-0104wb-16-01848,0.000,0.000
clueweb12-1211wb-50-02046,-2462.076,-2508.535
clueweb12-1500wb-73-14549,-2114.033,-2158.387
clueweb12-1803wb-10-09536,-21803.566,-22502.754
clueweb12-1209wb-71-11509,-824.540,-863.052
clueweb12-1505wb-01-13045,-1706.085,-1818.574
clueweb12-1603wb-05-00565,-2574.008,-2845.321
clueweb12-0511wb-92-31571,-4156.104,-4433.003
clueweb12-0210wb-27-23267,-724.063,-781.664
clueweb12-1416wb-48-00173,-2312.897,-2341.225
clueweb12-0716wb-94-21578,-1749.063,-1919.797
clueweb12-1302wb-53-02445,-2691.518,-2803.139
clueweb12-1609wb-69-28895,-161613.031,-167335.250
clueweb12-0916wb-60-25024,-817.104,-803.692
clueweb12-0412wb-03-25255,-937.396,-1003.935
clueweb12-1613wb-00-02435,-27610.402,-29823.939
clueweb12-1107wb-01-22610,-3705.173,-3723.638
clueweb12-1901wb-36-07445,-6675.301,-7082.803
clueweb12-0210wb-01-33857,-5608.330,-5827.923
clueweb12-1515wb-72-12169,-16584.830,-17860.098
clueweb12-0104wb-48-23181,-6294.327,-6276.193
clueweb12-0306wb-24-18082,-181.694,-194.458
clueweb12-0917wb-59-16785,-17001.762,-17608.713
clueweb12-0010wb-13-16709,-7044.222,-7232.824
clueweb12-1311wb-85-32411,-1818.616,-1902.972
clueweb12-0500wb-04-32562,-1257.454,-1321.499
clueweb12-0007wb-39-34248,-766.285,-741.840
clueweb12-0209wb-99-26568,-1459.837,-1475.306
clueweb12-1511wb-21-28752,-164.015,-180.744
clueweb12-0301tw-47-21023,-430.402,-456.320
clueweb12-1700wb-65-11792,-1870.599,-1955.267
clueweb12-1404wb-99-17963,-2003.756,-2029.727
clueweb12-0001wb-04-22801,-1048.658,-1062.122
clueweb12-1900tw-46-17867,-3615.645,-3762.416
clueweb12-0911wb-24-19516,-3848.266,-4145.121
clueweb12-1603wb-10-02270,-433.301,-424.326
clueweb12-1912wb-28-03700,-1182.012,-1202.219
clueweb12-0205wb-02-14755,-3792.554,-4086.143
clueweb12-0512wb-00-26945,0.000,0.000
clueweb12-1310wb-84-15636,-10598.644,-10987.080
clueweb12-1800wb-31-12782,0.000,0.000
clueweb12-1300wb-89-09515,0.000,0.000
clueweb12-0000tw-07-10820,-1224.014,-1257.000
clueweb12-0714wb-41-25273,0.000,0.000
clueweb12-1603wb-03-04886,-282.686,-278.790
clueweb12-0401wb-51-08117,-3980.574,-4014.636
clueweb12-0309wb-22-19661,-17296.600,-18220.605
clueweb12-1912wb-98-16766,0.000,0.000
clueweb12-0400wb-60-19346,-2174.451,-2333.965
clueweb12-1300tw-43-14952,-1548.932,-1681.268
clueweb12-1712wb-99-18369,-1355.079,-1491.103
clueweb12-0106wb-35-20068,0.000,0.000
clueweb12-1400wb-35-01806,-1083.706,-1097.973
clueweb12-0406wb-38-03712,-1012.726,-1046.838
clueweb12-0408wb-39-28246,-621.006,-657.742
clueweb12-0202wb-03-34036,0.000,0.000
clueweb12-1001wb-76-11222,-165.506,-173.812
clueweb12-1508wb-03-17427,-5102.650,-5546.860
clueweb12-0010wb-62-18673,-2571.997,-2704.861
clueweb12-0405wb-40-25051,-1159.533,-1226.017
clueweb12-0312wb-01-17137,-20866.160,-20481.596
clueweb12-0816wb-97-12855,-25066.574,-24912.908
clueweb12-0104wb-27-11166,-3501.351,-3513.749
clueweb12-1704wb-27-01260,-1995.130,-2016.456
clueweb12-0000wb-66-33308,-1038.772,-1100.700
clueweb12-0109wb-23-28306,-1247.369,-1260.384
clueweb12-0802wb-62-17490,-1761.615,-1788.097
clueweb12-1408wb-54-09404,0.000,0.000
clueweb12-1911wb-68-23322,0.000,0.000
clueweb12-1021wb-19-12990,-669.089,-685.229
clueweb12-0600wb-45-02323,-820.862,-878.300
clueweb12-1416wb-48-06142,0.000,0.000
clueweb12-0006wb-79-11918,-1211.323,-1248.143
clueweb12-1909wb-35-15156,-2325.240,-2496.048
clueweb12-1712wb-84-09838,-6412.280,-6757.404
clueweb12-0813wb-04-12026,-3863.188,-4054.351
clueweb12-0004wb-65-09328,-2328.235,-2467.735
clueweb12-0300wb-22-28286,-27978.781,-29198.715
clueweb12-0305wb-48-28090,-610.798,-620.304
clueweb12-0202wb-16-01442,-682.674,-646.450
clueweb12-1904wb-91-05202,-1958.908,-2103.534
clueweb12-1401wb-95-26931,-1052.664,-1096.414
clueweb12-1605wb-78-31029,-830.075,-878.751
clueweb12-0013wb-61-00825,-3428.076,-3522.200
clueweb12-0714wb-34-10870,-456.017,-497.929
clueweb12-1801wb-31-19552,-242.081,-263.433
clueweb12-0307wb-13-29826,-767.381,-833.267
clueweb12-0101wb-67-04315,-122.380,-132.733
clueweb12-1400tw-00-07032,-317.057,-341.709
clueweb12-0106wb-09-32864,-3591.415,-3520.284
clueweb12-1602wb-34-16170,-2903.756,-2997.772
clueweb12-1505wb-28-15822,-3822.887,-4015.079
clueweb12-0302wb-39-03262,-1180.820,-1236.161
clueweb12-1118wb-75-00690,-3120.386,-3250.566
clueweb12-0100wb-15-32305,-9157.853,-9705.986
clueweb12-1709wb-68-03567,-998.746,-1026.465
clueweb12-1201wb-92-16566,-541.724,-564.373
clueweb12-0209wb-54-24315,-8006.092,-7826.217
clueweb12-0813wb-87-24620,-4800.494,-5075.826
clueweb12-0807wb-55-24808,-9641.665,-9913.502
clueweb12-0106wb-93-26473,-6438.089,-6565.382
clueweb12-1212wb-13-01530,-22530.477,-23173.516
clueweb12-1905wb-47-02207,-1084.721,-1205.031
clueweb12-1215wb-55-03877,-1679.799,-1861.274
clueweb12-0212wb-16-31586,0.000,0.000
clueweb12-1604wb-02-27604,0.000,0.000
clueweb12-0704wb-42-28806,-3146.366,-3304.210
clueweb12-0612wb-73-34425,-1440.453,-1471.021
clueweb12-1807wb-97-14534,-1498.010,-1556.453
clueweb12-0903wb-65-25611,-1458.969,-1545.002
clueweb12-0205wb-86-05528,-1121.099,-1221.290
clueweb12-0300wb-78-12387,-185.223,-203.726
clueweb12-1313wb-21-34545,0.000,0.000
clueweb12-0500wb-35-05859,0.000,0.000
clueweb12-0001wb-04-31330,-868.309,-891.011
clueweb12-1910wb-42-31366,-3393.802,-3561.478
clueweb12-0500wb-54-06829,-6388.471,-6395.600
clueweb12-0109wb-08-28339,-21148.754,-22256.561
clueweb12-0606wb-12-18330,-26275.695,-26936.297
clueweb12-0608wb-43-13584,-1392.507,-1457.180
clueweb12-0207wb-68-15780,0.000,0.000
clueweb12-0302wb-67-24487,-1266.280,-1337.880
clueweb12-0311wb-43-29569,-3690.646,-3777.916
clueweb12-1213wb-08-06699,0.000,0.000
clueweb12-0200tw-38-22368,-1696.408,-1765.220
clueweb12-1710wb-12-28926,-640.818,-649.308
clueweb12-0101wb-24-25875,-18810.627,-18983.062
clueweb12-0209wb-51-02605,0.000,0.000
clueweb12-0301wb-67-27760,-3537.378,-3684.498
clueweb12-1504wb-70-19259,-519.864,-555.934
clueweb12-0709wb-94-01989,-871.947,-885.636
clueweb12-0306wb-58-06048,-651.759,-689.732
clueweb12-1210wb-43-05181,-162.940,-158.590
clueweb12-1805wb-76-05639,-8880.733,-9161.031
clueweb12-0307wb-52-08052,-7447.988,-7654.161
clueweb12-0200wb-34-10029,-6658.693,-7093.943
clueweb12-0200wb-66-33934,-41909.926,-42519.996
clueweb12-1903wb-81-03247,-2702.676,-2851.318
clueweb12-0100wb-30-06526,-12904.075,-13349.307
clueweb12-0207wb-26-26565,-3343.732,-3501.282
clueweb12-1903wb-65-01140,-1353.252,-1395.887
clueweb12-0002wb-70-07941,-3626.956,-3863.708
clueweb12-0008wb-03-24969,-23027.822,-23252.301
clueweb12-1717wb-40-23682,0.000,0.000
clueweb12-1509wb-66-10733,-3025.577,-3029.248
clueweb12-0800tw-31-07368,-2645.735,-2856.219
clueweb12-1410wb-76-06866,0.000,0.000
clueweb12-1218wb-43-10547,-5911.521,-6257.969
clueweb12-1110wb-94-30104,-169.193,-189.060
clueweb12-0003wb-18-05825,-672.650,-709.118
clueweb12-0407wb-62-34677,-2666.065,-2890.403
clueweb12-0300wb-13-23514,-261.934,-280.029
clueweb12-0012wb-12-34919,-274.383,-290.920
clueweb12-0914wb-72-26259,-13493.067,-14743.928
clueweb12-1012wb-47-07342,-4170.503,-4213.503
clueweb12-1401wb-81-01009,-2105.552,-2247.303
clueweb12-1005wb-17-16578,-2356.028,-2474.296
clueweb12-0205wb-73-35545,-1325.023,-1361.425
clueweb12-0304wb-19-06751,-937.807,-947.346
clueweb12-0411wb-45-22685,-2613.641,-2776.970
clueweb12-0816wb-64-09041,-254.537,-262.583
clueweb12-1407wb-27-06206,-178.975,-186.202
clueweb12-0600wb-51-12953,-361361.688,-369520.969
clueweb12-1600wb-17-07118,-184.533,-203.064
clueweb12-0402wb-55-08506,-1087.537,-1147.056
clueweb12-0715wb-77-14030,-1610.883,-1666.048
clueweb12-0305wb-76-14125,0.000,0.000
clueweb12-0300wb-33-01555,-5760.882,-5945.968
clueweb12-1515wb-55-25062,-2750.634,-2749.440
clueweb12-0909wb-37-23439,-1592.328,-1620.407
clueweb12-1513wb-41-04095,-255.588,-277.582
clueweb12-0903wb-21-23318,-3429.885,-3682.103
clueweb12-0506wb-42-08762,-150.604,-162.501
clueweb12-0010wb-50-04977,-3977.149,-4086.356
clueweb12-1713wb-96-15155,-2010.963,-2186.589
clueweb12-0817wb-88-24990,-3665.256,-3611.953
clueweb12-0506wb-46-22307,-4065.382,-4014.738
clueweb12-1506wb-32-16682,-2241.284,-2380.634
clueweb12-1612wb-00-01084,-117.482,-124.451
clueweb12-0200wb-88-04313,-3576.269,-3674.237
clueweb12-0407wb-58-27297,-16990.500,-17020.982
clueweb12-0300wb-97-22949,-1161.432,-1209.539
clueweb12-1500wb-81-10530,0.000,0.000
clueweb12-1701wb-75-15418,-6389.581,-6818.175
clueweb12-0409wb-48-31139,0.000,0.000
clueweb12-0406wb-69-10853,-3685.974,-3962.186
clueweb12-0915wb-96-27233,-1219.676,-1288.248
clueweb12-0903wb-08-23989,-232.097,-248.086
clueweb12-0110wb-37-21443,-403.997,-420.336
clueweb12-0012wb-10-06609,-3493.504,-3516.990
clueweb12-0305wb-06-14167,-15146.488,-16179.428
clueweb12-1500tw-24-02466,-39202.949,-41562.871
clueweb12-1502wb-90-08843,-18068.936,-18370.959
clueweb12-0714wb-74-11484,0.000,0.000
clueweb12-0110wb-56-15757,-3679.909,-3849.185
clueweb12-1803wb-84-16544,-6366.414,-6537.914
clueweb12-0509wb-19-31597,0.000,0.000
clueweb12-1702wb-96-17158,-155.855,-170.709
clueweb12-1013wb-25-11962,-1066.423,-1027.274
clueweb12-1211wb-45-10670,-468.808,-488.678
clueweb12-1010wb-15-18831,-4460.259,-4457.548
clueweb12-0902wb-49-26791,-2935.488,-3188.894
clueweb12-1109wb-83-17466,-11858.852,-11520.750
clueweb12-1904wb-40-09532,-641.936,-635.243
clueweb12-0004wb-19-22834,-5280.842,-5564.166
clueweb12-1215wb-27-17673,-891.352,-962.433
clueweb12-1006wb-61-21535,-5444.852,-5701.316
clueweb12-0606wb-40-17468,-969.086,-1028.402
clueweb12-0304wb-78-16139,-1081.225,-1075.007
clueweb12-1315wb-30-19562,-1851.030,-1961.134
clueweb12-0807wb-25-02422,-2626.700,-2702.110
clueweb12-1513wb-11-35914,-921.363,-970.508
clueweb12-1303wb-04-18083,-23741.980,-25290.377
clueweb12-0210wb-47-34350,-2808.381,-2892.487
clueweb12-1106wb-89-17808,-5126.124,-5281.453
clueweb12-0310wb-37-09170,-1569.690,-1633.184
clueweb12-0512wb-34-27975,-2134.677,-2234.778
clueweb12-0510wb-50-14150,-3742.438,-3816.277
clueweb12-1204wb-58-25115,-1864.719,-1974.995
clueweb12-1311wb-13-06681,-3067.194,-3147.649
clueweb12-0200tw-76-00268,-1304.293,-1326.983
clueweb12-1900wb-46-11414,0.000,0.000
clueweb12-0107wb-85-29644,-2022.467,-2167.662
clueweb12-0800tw-22-19970,-2666.762,-2801.349
clueweb12-0001wb-26-06006,-2420.975,-2613.409
clueweb12-1013wb-12-22424,-3333.008,-3313.140
clueweb12-0004wb-84-30585,-1749.714,-1904.354
clueweb12-0703wb-09-20710,0.000,0.000
clueweb12-0007wb-33-18827,-1452.761,-1488.120
clueweb12-1511wb-10-29878,-2158.142,-2304.309
clueweb12-0101wb-91-02561,-547.179,-586.944
clueweb12-0105wb-96-25649,-1023.512,-1088.776
clueweb12-1405wb-49-08080,-4053.193,-4059.056
clueweb12-1600tw-28-22155,-1382.933,-1467.948
clueweb12-0411wb-02-03360,-4307.207,-4655.631
clueweb12-0408wb-53-13348,-1275.100,-1303.703
clueweb12-1403wb-66-26795,-1628.769,-1697.330
clueweb12-1516wb-60-30204,-3547.025,-3651.538
clueweb12-1113wb-96-07056,0.000,0.000
clueweb12-1516wb-40-01774,-130.906,-135.709
clueweb12-0405wb-37-08197,-1367.265,-1486.891
clueweb12-1903wb-19-19877,-1227.850,-1323.770
clueweb12-1715wb-09-07686,-209.551,-227.321
clueweb12-0407wb-87-26882,-154003.109,-157286.156
clueweb12-1203wb-48-30696,-1060.671,-1083.992
clueweb12-0919wb-14-22225,-798.808,-832.132
clueweb12-0504wb-40-12489,-1616.235,-1670.013
clueweb12-1206wb-86-25351,-6260.555,-6742.916
clueweb12-1812wb-98-15202,0.000,0.000
clueweb12-1706wb-78-21674,-329.319,-346.048
clueweb12-1505wb-97-03319,-433.835,-469.310
clueweb12-0303wb-37-24687,-904.493,-925.690
clueweb12-1107wb-96-19016,-13554.157,-13939.152
clueweb12-1701wb-68-22715,-1468.748,-1539.643
clueweb12-1800wb-39-17094,-242.061,-248.216
clueweb12-0911wb-39-24090,-13749.553,-14286.278
clueweb12-0500wb-00-02806,-163.444,-171.409
clueweb12-0003wb-39-11553,-1485.528,-1563.774
clueweb12-0210wb-25-10285,-3653.404,-3752.760
clueweb12-0211wb-78-29033,-5980.808,-6292.357
clueweb12-0806wb-74-14904,-31211.176,-33349.867
clueweb12-0003wb-40-22119,-25270.219,-25359.512
clueweb12-1710wb-60-30325,0.000,0.000
clueweb12-0408wb-98-08344,-2160.531,-2246.202
clueweb12-0815wb-27-29275,-7108.090,-7022.526
