filename,lm_clef15_vhard,lm_clef15_hard,lm_clef15_easy,lm_clef15_veasy
clueweb12-1414wb-83-06172,-5078.398,-4906.414,-4958.608,-5047.708
clueweb12-1706wb-79-09204,-2101.151,-2028.508,-2071.401,-2049.386
clueweb12-0406wb-12-03376,-1730.962,-1748.786,-1797.475,-1784.503
clueweb12-1700wb-61-24943,0.000,0.000,0.000,0.000
clueweb12-0601wb-52-31113,-502.734,-491.542,-504.993,-501.040
clueweb12-0007wb-15-01723,-2722.641,-2628.176,-2685.114,-2688.405
clueweb12-0204wb-62-02123,-4098.289,-3985.582,-4030.260,-4051.884
clueweb12-0103wb-88-03488,-27958.891,-27975.932,-28541.996,-29029.594
clueweb12-1114wb-84-19394,-2057.413,-1961.082,-2100.731,-2145.241
clueweb12-1408wb-98-23394,-26892.902,-25369.541,-24423.430,-24372.699
clueweb12-1714wb-47-29421,-6765.838,-6767.727,-6890.432,-6993.750
clueweb12-1504wb-31-02323,-20333.236,-20009.371,-20216.109,-20062.424
clueweb12-0210wb-31-25524,-5895.527,-5583.415,-5684.544,-5732.324
clueweb12-1315wb-92-05106,-2855.738,-2735.871,-2727.326,-2768.559
clueweb12-1805wb-87-31979,-1800.383,-1702.859,-1745.957,-1757.765
clueweb12-0013wb-82-21639,-4471.230,-4281.500,-4299.785,-4321.979
clueweb12-0700tw-59-04320,-2112.929,-2078.350,-2141.399,-2142.038
clueweb12-1807wb-70-19821,0.000,0.000,0.000,0.000
clueweb12-0101wb-57-00895,-1643.362,-1596.353,-1625.073,-1674.148
clueweb12-0300wb-48-15629,-107281.938,-102592.008,-100861.188,-100643.641
clueweb12-1813wb-27-19918,-2564.931,-2464.457,-2484.158,-2485.494
clueweb12-1102wb-32-11038,-39704.727,-37503.285,-36841.609,-36724.457
clueweb12-1705wb-98-18260,-2527.121,-2442.236,-2442.443,-2426.636
clueweb12-0208wb-26-10895,-6526.196,-6253.834,-6412.662,-6493.645
clueweb12-1005wb-16-08923,-376.132,-372.494,-385.276,-382.825
clueweb12-1501wb-40-28266,-2433.483,-2279.466,-2312.031,-2277.450
clueweb12-0207wb-42-15352,-510.234,-506.884,-514.193,-512.787
clueweb12-0000wb-33-26607,0.000,0.000,0.000,0.000
clueweb12-0103wb-00-13076,-6779.557,-6685.195,-6917.563,-7048.599
clueweb12-1200wb-96-17029,-6908.256,-6492.686,-6304.360,-6292.672
clueweb12-0103wb-34-15662,-12727.328,-12385.736,-12380.478,-12656.254
clueweb12-0808wb-94-07743,-665.637,-652.681,-670.124,-672.327
clueweb12-0201wb-35-33177,-1720.589,-1489.538,-1679.922,-1540.265
clueweb12-0703wb-93-13969,-1816.120,-1689.691,-1676.773,-1647.237
clueweb12-0210wb-99-03248,-783.173,-746.848,-741.521,-749.503
clueweb12-0700wb-29-05624,-376.900,-355.595,-356.250,-354.900
clueweb12-0805wb-52-19872,-33233.047,-26355.287,-32456.693,-33492.215
clueweb12-1710wb-64-16650,-2166.793,-2124.641,-2215.133,-2186.185
clueweb12-1901wb-31-18149,0.000,0.000,0.000,0.000
clueweb12-1206wb-90-05324,-1560.032,-1452.915,-1477.108,-1510.324
clueweb12-0200tw-75-15354,-3196.132,-3104.743,-3049.969,-3013.010
clueweb12-0208wb-13-07246,-12315.469,-12396.538,-12837.808,-13005.891
clueweb12-1714wb-56-14463,-1129.967,-1083.961,-1103.604,-1137.564
clueweb12-1702wb-44-24026,-12288.132,-11510.116,-11124.187,-11472.686
clueweb12-0011wb-84-21846,-4404.703,-4342.617,-4491.388,-4464.211
clueweb12-0208wb-26-30017,-2586.456,-2589.296,-2672.575,-2660.473
clueweb12-0606wb-70-14585,-4384.130,-4301.810,-4507.297,-4609.957
clueweb12-1501wb-32-02577,0.000,0.000,0.000,0.000
clueweb12-0209wb-12-02455,-1427.490,-1374.050,-1388.455,-1356.564
clueweb12-0009wb-89-09859,-30612.033,-30422.613,-31180.018,-31493.541
clueweb12-0111wb-23-24817,-20860.186,-20164.740,-19705.264,-19568.178
clueweb12-1809wb-00-09021,-1649.615,-1608.356,-1588.241,-1608.915
clueweb12-1503wb-69-02029,-192.590,-180.592,-173.763,-166.219
clueweb12-1803wb-37-12247,0.000,0.000,0.000,0.000
clueweb12-0001wb-53-08246,-430.830,-425.804,-444.221,-454.553
clueweb12-0207wb-59-02791,-2152.274,-2096.861,-2127.684,-2171.440
clueweb12-0918wb-19-10221,0.000,0.000,0.000,0.000
clueweb12-1007wb-41-22849,-591.672,-582.798,-590.955,-594.814
clueweb12-0500wb-21-23757,-8960.626,-8736.012,-8822.271,-8911.103
clueweb12-1500wb-14-18056,-22214.799,-21002.094,-21082.514,-21267.580
clueweb12-1705wb-88-29147,-910.820,-898.054,-903.951,-934.000
clueweb12-1901wb-32-18227,-2996.239,-2972.089,-3047.355,-3064.822
clueweb12-0000tw-25-17829,-28731.479,-27114.975,-25866.955,-25513.299
clueweb12-0102wb-48-10340,-1232.669,-1160.235,-1165.993,-1202.755
clueweb12-0112wb-41-22903,-3420.225,-3253.671,-3489.688,-3573.112
clueweb12-1606wb-85-09686,-3223.101,-3070.292,-3104.279,-3127.700
clueweb12-1604wb-36-17849,-415.812,-406.163,-422.780,-412.473
clueweb12-0208wb-99-00909,-13540.791,-13410.970,-13696.444,-13577.194
clueweb12-1118wb-80-07238,0.000,0.000,0.000,0.000
clueweb12-1606wb-61-15146,-811.857,-794.697,-786.313,-779.818
clueweb12-1514wb-43-06636,-6561.717,-6443.495,-6632.947,-6672.835
clueweb12-0012wb-54-18363,-3842.580,-3688.186,-3779.451,-3820.851
clueweb12-0203wb-89-08936,-417.616,-413.475,-404.823,-411.975
clueweb12-1402wb-72-06254,-1671.281,-1615.288,-1601.949,-1600.998
clueweb12-1007wb-90-20326,-24561.125,-23687.037,-24031.227,-24018.377
clueweb12-1507wb-19-04653,-7202.410,-6965.449,-7115.856,-7121.678
clueweb12-1807wb-24-14673,-14088.613,-13892.399,-14400.875,-14252.248
clueweb12-1702wb-38-04611,0.000,0.000,0.000,0.000
clueweb12-0100wb-56-18168,0.000,0.000,0.000,0.000
