filename,n_chv_concepts,n_chv_dsyn_concepts,n_chv_sosy_concepts,avg_chv_value_all,avg_chv_value_dsyn,avg_chv_value_sosy,n_msh_concepts,n_msh_dsyn_concepts,n_msh_sosy_concepts,avg_tree_length_all,avg_tree_length_dsyn,avg_tree_length_sosy
clueweb12-0300wb-46-20303,695.0,47.0,4.0,0.76,0.615,0.559,407.0,47.0,5.0,4.902,3.298,5.8
clueweb12-0805wb-55-18453,63.0,1.0,0.0,0.775,0.888,0.0,24.0,1.0,0.0,3.583,3.0,0.0
clueweb12-0200wb-63-11201,130.0,0.0,2.0,0.7,0.0,0.736,88.0,0.0,2.0,9.67,0.0,9.0
clueweb12-0818wb-77-11598,39.0,0.0,0.0,0.767,0.0,0.0,34.0,0.0,0.0,4.941,0.0,0.0
clueweb12-1703wb-68-28292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1107wb-86-00248,24.0,0.0,0.0,0.868,0.0,0.0,20.0,0.0,0.0,5.8,0.0,0.0
clueweb12-0712wb-54-10044,725.0,13.0,13.0,0.737,0.723,0.705,380.0,13.0,9.0,6.329,5.538,8.333
clueweb12-0400tw-37-09454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0904wb-70-21617,77.0,0.0,4.0,0.789,0.0,0.559,42.0,0.0,4.0,6.69,0.0,9.0
clueweb12-1201tw-20-17189,434.0,5.0,1.0,0.78,0.873,0.955,226.0,3.0,1.0,4.456,3.667,13.0
clueweb12-0606wb-75-20872,407.0,2.0,9.0,0.783,0.69,0.908,252.0,2.0,9.0,4.873,1.0,12.111
clueweb12-0009wb-03-07407,340.0,4.0,5.0,0.778,0.665,0.66,124.0,4.0,4.0,5.815,8.25,4.5
clueweb12-0700tw-57-03245,15.0,2.0,0.0,0.785,0.634,0.0,13.0,2.0,0.0,5.769,5.0,0.0
clueweb12-0507wb-16-17418,251.0,1.0,7.0,0.758,0.888,0.724,144.0,1.0,4.0,6.562,3.0,6.0
clueweb12-0806wb-38-02316,68.0,3.0,0.0,0.697,0.739,0.0,40.0,8.0,0.0,5.75,8.875,0.0
clueweb12-0106wb-09-32864,468.0,20.0,14.0,0.708,0.533,0.714,260.0,26.0,11.0,5.95,6.615,8.636
clueweb12-1003wb-73-11481,2740.0,30.0,49.0,0.839,0.783,0.804,1583.0,35.0,23.0,5.198,4.971,7.13
clueweb12-1105wb-27-18343,14.0,0.0,0.0,0.703,0.0,0.0,9.0,0.0,0.0,6.222,0.0,0.0
clueweb12-1907wb-06-10680,799.0,17.0,21.0,0.753,0.642,0.813,367.0,20.0,14.0,5.18,5.8,11.143
clueweb12-0211wb-85-20964,1542.0,119.0,17.0,0.74,0.455,0.749,1024.0,132.0,16.0,5.528,4.28,8.25
clueweb12-0300tw-80-15969,27.0,0.0,1.0,0.808,0.0,0.595,17.0,0.0,1.0,4.824,0.0,10.0
clueweb12-0501wb-84-08194,31.0,4.0,1.0,0.8,0.662,0.963,16.0,4.0,0.0,7.5,7.25,0.0
clueweb12-0110wb-01-15643,38.0,1.0,0.0,0.79,0.888,0.0,16.0,2.0,0.0,3.438,6.5,0.0
clueweb12-1801wb-18-04714,222.0,18.0,8.0,0.756,0.691,0.887,142.0,21.0,7.0,6.169,3.571,12.143
clueweb12-1808wb-45-08022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0200tw-90-18410,332.0,4.0,0.0,0.75,0.609,0.0,198.0,2.0,0.0,4.924,4.5,0.0
clueweb12-1300tw-04-00355,145.0,0.0,2.0,0.789,0.0,0.595,63.0,0.0,2.0,5.81,0.0,10.0
clueweb12-0412wb-34-27822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1904wb-57-23102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1412wb-68-10893,1394.0,24.0,28.0,0.772,0.665,0.726,573.0,30.0,17.0,5.789,4.933,9.647
clueweb12-1412wb-66-02786,1466.0,18.0,3.0,0.73,0.593,0.684,715.0,26.0,3.0,5.957,3.538,3.333
clueweb12-1612wb-05-30689,81.0,10.0,0.0,0.758,0.64,0.0,55.0,10.0,0.0,3.673,5.5,0.0
clueweb12-0504wb-04-01596,1142.0,23.0,85.0,0.734,0.641,0.735,632.0,27.0,37.0,6.068,4.593,6.838
clueweb12-0906wb-46-09218,95.0,0.0,0.0,0.759,0.0,0.0,62.0,0.0,0.0,6.032,0.0,0.0
clueweb12-0401wb-61-19847,400.0,5.0,5.0,0.701,0.573,0.571,191.0,3.0,1.0,5.304,9.667,2.0
clueweb12-0300wb-33-01555,772.0,20.0,14.0,0.719,0.721,0.733,448.0,21.0,12.0,5.946,3.762,8.333
clueweb12-1803wb-09-05486,343.0,33.0,24.0,0.742,0.74,0.745,190.0,33.0,23.0,5.763,6.182,7.261
clueweb12-0205wb-11-31781,1234.0,67.0,2.0,0.785,0.738,0.934,743.0,75.0,3.0,6.083,5.133,13.333
clueweb12-0006wb-60-03093,28.0,0.0,0.0,0.838,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0
clueweb12-0012wb-53-01749,629.0,10.0,13.0,0.763,0.649,0.714,314.0,12.0,9.0,5.331,8.25,4.778
clueweb12-0200wb-85-00657,140.0,0.0,0.0,0.743,0.0,0.0,78.0,0.0,0.0,6.615,0.0,0.0
clueweb12-1804wb-99-11077,1908.0,100.0,48.0,0.765,0.643,0.834,909.0,103.0,15.0,4.446,6.078,11.0
clueweb12-0302wb-59-20205,948.0,48.0,0.0,0.697,0.545,0.0,569.0,51.0,0.0,5.996,6.392,0.0
clueweb12-1309wb-87-01045,1084.0,27.0,10.0,0.74,0.612,0.72,648.0,29.0,9.0,6.281,7.379,6.222
clueweb12-1406wb-81-15891,141.0,0.0,0.0,0.75,0.0,0.0,74.0,0.0,0.0,4.986,0.0,0.0
clueweb12-0501wb-26-01363,153.0,4.0,10.0,0.764,0.674,0.633,96.0,5.0,9.0,6.615,4.0,4.0
clueweb12-0000wb-07-36488,90.0,3.0,0.0,0.73,0.609,0.0,48.0,3.0,0.0,7.0,10.333,0.0
clueweb12-1802wb-18-11596,716.0,12.0,29.0,0.721,0.715,0.805,442.0,12.0,25.0,6.661,4.917,8.48
clueweb12-1700wb-09-27224,193.0,6.0,3.0,0.781,0.584,0.924,142.0,6.0,1.0,5.599,4.0,9.0
clueweb12-0308wb-98-13971,984.0,9.0,1.0,0.712,0.761,0.571,598.0,9.0,0.0,6.134,7.556,0.0
clueweb12-1800wb-59-07547,104.0,0.0,0.0,0.789,0.0,0.0,60.0,1.0,0.0,6.05,31.0,0.0
clueweb12-0302wb-93-10635,13.0,0.0,0.0,0.667,0.0,0.0,11.0,0.0,0.0,3.818,0.0,0.0
clueweb12-1118wb-21-33186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1811wb-89-09635,92.0,0.0,5.0,0.757,0.0,0.905,51.0,0.0,3.0,4.078,0.0,13.0
clueweb12-1306wb-79-18268,573.0,2.0,18.0,0.77,0.521,0.928,315.0,3.0,23.0,5.689,3.667,11.478
clueweb12-0300wb-66-18170,1293.0,41.0,33.0,0.782,0.625,0.742,671.0,44.0,26.0,5.346,5.682,8.615
clueweb12-0104wb-28-09899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0814wb-23-20713,1031.0,73.0,49.0,0.755,0.612,0.784,681.0,75.0,44.0,6.253,4.733,7.25
clueweb12-1516wb-23-00706,982.0,32.0,6.0,0.737,0.659,0.675,569.0,32.0,6.0,5.151,4.531,6.833
clueweb12-1304wb-89-07490,69.0,1.0,2.0,0.776,0.534,0.883,50.0,2.0,1.0,5.72,3.0,8.0
clueweb12-0101wb-14-05096,512.0,45.0,13.0,0.732,0.59,0.685,252.0,44.0,10.0,5.976,4.045,4.5
