filename,n_abbrs,n_as,n_blockquotes,n_bolds,n_cites,n_divs,n_dls,n_forms,n_h1s,n_h2s,n_h3s,n_h4s,n_h5s,n_h6s,n_hs,n_imgs,n_inputs,n_links,n_lists,n_ols,n_ps,n_qs,n_scripts,n_spans,n_table,n_uls
clueweb12-1414wb-83-06172,0,5,0,0,0,55,0,0,0,2,0,0,0,0,2,3,0,10,1,0,1,0,3,6,0,1
clueweb12-1706wb-79-09204,0,236,0,0,0,4,0,3,0,1,0,0,0,0,1,8,13,1,0,0,4,0,16,5,23,0
clueweb12-0406wb-12-03376,0,14,0,0,0,22,2,0,1,1,2,0,0,0,4,3,0,2,6,0,695,0,9,6,0,4
clueweb12-1700wb-61-24943,0,110,0,0,0,61,50,3,0,0,8,0,0,0,8,13,11,50,62,0,5,0,18,6,0,12
clueweb12-0601wb-52-31113,0,20,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,25,1,0
clueweb12-0007wb-15-01723,0,227,0,0,0,62,0,2,0,7,23,0,2,0,32,30,9,15,26,0,40,0,8,24,22,26
clueweb12-0204wb-62-02123,0,113,0,0,0,22,0,0,1,9,0,0,0,0,10,26,0,1,22,0,27,0,5,10,5,22
clueweb12-0103wb-88-03488,0,38,0,1,0,0,0,1,0,0,0,0,0,0,0,48,1,1,0,0,0,0,3,0,11,0
clueweb12-1114wb-84-19394,0,124,0,0,0,39,0,0,0,0,0,0,0,0,0,38,0,1,0,0,18,0,15,12,20,0
clueweb12-1408wb-98-23394,0,253,0,0,99,450,0,2,6,9,2,0,0,0,17,124,10,30,21,1,131,0,18,104,0,20
clueweb12-1714wb-47-29421,0,415,0,0,0,77,0,1,0,0,0,0,0,0,0,69,6,3,23,0,93,0,28,54,28,23
clueweb12-1504wb-31-02323,0,51,0,113,0,52,0,1,2,106,128,0,0,0,236,5,3,0,7,0,1,0,22,34,1,7
clueweb12-0210wb-31-25524,0,176,0,1,0,179,0,1,2,0,0,0,0,0,2,10,6,4,0,0,16,0,10,34,15,0
clueweb12-1315wb-92-05106,0,239,0,0,0,39,0,0,2,0,0,0,0,0,2,12,0,6,33,1,26,0,12,6,1,32
clueweb12-1805wb-87-31979,0,35,0,0,0,29,0,0,1,9,0,0,0,0,10,2,0,19,5,0,8,0,23,1,0,5
clueweb12-0013wb-82-21639,0,22,0,10,0,15,0,1,3,0,0,0,0,0,3,14,0,1,1,0,0,0,0,7,12,1
clueweb12-0700tw-59-04320,0,77,0,0,0,71,0,3,0,0,0,0,0,0,0,12,15,4,9,0,0,0,12,76,2,9
clueweb12-1807wb-70-19821,0,697,0,1,0,70,0,1,0,0,0,0,0,0,0,38,5,2,0,0,3,0,27,1,35,0
clueweb12-0101wb-57-00895,0,48,0,6,0,0,0,1,1,5,0,1,0,0,7,69,5,1,0,0,8,0,5,0,21,0
