filename,spam
clueweb12-0000tw-00-02610,70
clueweb12-0000tw-00-06219,0
clueweb12-0000tw-00-18462,67
clueweb12-0000tw-01-07025,47
clueweb12-0000tw-01-08938,26
clueweb12-0000tw-01-09652,9
clueweb12-0000tw-03-14211,77
clueweb12-0000tw-07-04717,98
clueweb12-0000tw-07-10820,65
clueweb12-0000tw-08-16795,34
clueweb12-0000tw-11-16420,11
clueweb12-0000tw-13-01721,3
clueweb12-0000tw-14-17390,58
clueweb12-0000tw-17-10703,3
clueweb12-0000tw-18-15598,17
clueweb12-0000tw-19-00831,24
clueweb12-0000tw-19-05344,12
clueweb12-0000tw-19-19597,17
clueweb12-0000tw-19-23297,27
clueweb12-0000tw-20-21368,14
clueweb12-0000tw-21-08810,40
clueweb12-0000tw-24-18048,18
clueweb12-0000tw-24-23905,96
clueweb12-0000tw-25-00464,11
clueweb12-0000tw-25-04741,3
clueweb12-0000tw-25-10223,33
clueweb12-0000tw-25-17829,41
clueweb12-0000tw-27-00069,33
clueweb12-0000tw-29-01316,25
clueweb12-0000tw-29-17548,11
clueweb12-0000tw-30-21090,9
clueweb12-0000tw-32-13227,7
clueweb12-0000tw-33-01824,24
clueweb12-0000tw-34-16473,12
clueweb12-0000tw-35-08308,90
clueweb12-0000tw-36-00283,1
clueweb12-0000tw-40-04852,27
clueweb12-0000tw-43-04524,29
clueweb12-0000tw-45-19496,43
clueweb12-0000wb-00-37380,95
clueweb12-0000wb-00-37394,62
clueweb12-0000wb-00-38045,85
clueweb12-0000wb-00-38215,88
clueweb12-0000wb-00-38426,83
clueweb12-0000wb-00-38952,82
clueweb12-0000wb-00-39360,83
clueweb12-0000wb-00-40705,87
clueweb12-0000wb-00-40719,65
clueweb12-0000wb-00-41298,85
clueweb12-0000wb-00-41312,86
clueweb12-0000wb-01-04176,70
clueweb12-0000wb-02-06680,79
clueweb12-0000wb-02-06820,82
clueweb12-0000wb-02-06990,91
clueweb12-0000wb-02-07382,11
clueweb12-0000wb-02-07718,92
clueweb12-0000wb-02-07830,88
clueweb12-0000wb-02-12801,19
clueweb12-0000wb-03-11307,6
clueweb12-0000wb-03-16345,91
clueweb12-0000wb-04-07063,6
clueweb12-0000wb-04-14177,1
clueweb12-0000wb-05-18585,0
clueweb12-0000wb-06-10802,55
clueweb12-0000wb-06-23873,12
clueweb12-0000wb-06-26375,12
clueweb12-0000wb-06-29427,3
clueweb12-0000wb-06-29581,1
clueweb12-0000wb-06-32108,26
clueweb12-0000wb-07-27507,51
clueweb12-0000wb-07-36488,16
clueweb12-0000wb-10-14555,99
clueweb12-0000wb-10-20000,26
clueweb12-0000wb-11-01491,95
clueweb12-0000wb-11-13426,1
clueweb12-0000wb-11-17250,67
clueweb12-0000wb-11-22861,29
clueweb12-0000wb-11-22875,25
clueweb12-0000wb-11-25996,40
clueweb12-0000wb-12-01591,56
clueweb12-0000wb-12-09548,87
clueweb12-0000wb-12-19259,76
clueweb12-0000wb-13-13159,22
clueweb12-0000wb-14-02994,47
clueweb12-0000wb-14-06113,0
clueweb12-0000wb-14-09291,50
clueweb12-0000wb-14-21482,31
clueweb12-0000wb-14-40074,69
clueweb12-0000wb-14-40088,73
clueweb12-0000wb-15-07150,93
clueweb12-0000wb-15-17821,89
clueweb12-0000wb-15-17849,94
clueweb12-0000wb-15-21853,81
clueweb12-0000wb-15-21867,25
clueweb12-0000wb-16-11846,86
clueweb12-0000wb-17-27162,2
clueweb12-0000wb-18-01157,96
clueweb12-0000wb-18-03815,71
clueweb12-0000wb-18-04997,45
clueweb12-0000wb-18-36392,0
clueweb12-0000wb-19-14220,3
clueweb12-0000wb-20-00742,99
clueweb12-0000wb-20-01643,4
clueweb12-0000wb-20-07932,65
clueweb12-0000wb-20-11446,13
clueweb12-0000wb-20-15490,64
clueweb12-0000wb-20-16092,88
clueweb12-0000wb-20-19198,81
clueweb12-0000wb-20-19296,20
clueweb12-0000wb-20-19324,77
clueweb12-0000wb-21-05942,15
clueweb12-0000wb-21-13413,71
clueweb12-0000wb-21-13581,70
clueweb12-0000wb-21-13833,87
clueweb12-0000wb-21-14043,86
clueweb12-0000wb-21-14127,83
clueweb12-0000wb-21-14281,86
clueweb12-0000wb-22-20608,90
clueweb12-0000wb-26-06194,2
clueweb12-0000wb-27-02858,32
clueweb12-0000wb-27-02872,22
clueweb12-0000wb-27-06611,93
clueweb12-0000wb-27-06625,93
clueweb12-0000wb-27-32654,49
clueweb12-0000wb-30-23665,1
clueweb12-0000wb-31-31050,90
clueweb12-0000wb-31-31232,76
clueweb12-0000wb-32-11068,13
clueweb12-0000wb-32-22296,86
clueweb12-0000wb-32-22380,81
clueweb12-0000wb-32-22716,93
clueweb12-0000wb-32-22856,94
clueweb12-0000wb-33-13681,0
clueweb12-0000wb-33-26607,17
clueweb12-0000wb-34-11230,39
clueweb12-0000wb-35-11505,6
clueweb12-0000wb-35-25385,88
clueweb12-0000wb-37-14840,89
clueweb12-0000wb-37-19544,93
clueweb12-0000wb-37-28695,70
clueweb12-0000wb-37-35544,0
clueweb12-0000wb-38-14103,44
clueweb12-0000wb-38-22106,39
clueweb12-0000wb-38-22120,48
clueweb12-0000wb-39-34286,29
clueweb12-0000wb-41-20954,28
clueweb12-0000wb-42-01119,21
clueweb12-0000wb-42-04020,59
clueweb12-0000wb-42-10685,78
clueweb12-0000wb-44-14217,64
clueweb12-0000wb-45-05096,3
clueweb12-0000wb-45-12880,96
clueweb12-0000wb-45-39559,2
clueweb12-0000wb-46-08201,91
clueweb12-0000wb-46-11828,77
clueweb12-0000wb-46-11912,92
clueweb12-0000wb-46-11968,83
clueweb12-0000wb-47-03359,83
clueweb12-0000wb-47-16597,24
clueweb12-0000wb-47-20952,3
clueweb12-0000wb-47-22338,0
clueweb12-0000wb-47-30191,85
clueweb12-0000wb-48-07247,11
clueweb12-0000wb-48-07261,12
clueweb12-0000wb-48-08896,15
clueweb12-0000wb-49-13382,28
clueweb12-0000wb-50-00125,94
clueweb12-0000wb-50-30422,92
clueweb12-0000wb-51-03520,19
clueweb12-0000wb-51-14363,77
clueweb12-0000wb-51-27603,26
clueweb12-0000wb-51-28684,0
clueweb12-0000wb-52-04805,13
clueweb12-0000wb-53-07587,77
clueweb12-0000wb-53-11431,43
clueweb12-0000wb-54-11411,84
clueweb12-0000wb-55-15473,19
clueweb12-0000wb-56-17787,93
clueweb12-0000wb-56-24045,0
clueweb12-0000wb-58-04805,95
clueweb12-0000wb-58-14000,9
clueweb12-0000wb-58-14028,4
clueweb12-0000wb-58-16242,1
clueweb12-0000wb-58-25386,79
clueweb12-0000wb-58-26310,83
clueweb12-0000wb-58-28243,78
clueweb12-0000wb-58-30259,75
clueweb12-0000wb-58-30665,52
clueweb12-0000wb-59-09402,4
clueweb12-0000wb-59-16080,80
clueweb12-0000wb-59-16318,76
clueweb12-0000wb-59-16542,94
clueweb12-0000wb-59-17552,65
clueweb12-0000wb-59-29233,62
clueweb12-0000wb-60-01455,77
clueweb12-0000wb-60-02435,0
clueweb12-0000wb-60-04598,85
clueweb12-0000wb-60-20603,51
clueweb12-0000wb-60-25562,7
clueweb12-0000wb-61-10241,17
clueweb12-0000wb-61-17616,36
clueweb12-0000wb-61-17630,36
clueweb12-0000wb-61-36713,5
clueweb12-0000wb-64-03125,96
clueweb12-0000wb-65-25819,15
clueweb12-0000wb-65-25847,23
clueweb12-0000wb-66-00209,86
clueweb12-0000wb-66-02855,72
clueweb12-0000wb-66-02967,83
clueweb12-0000wb-66-04832,76
clueweb12-0000wb-66-05267,80
clueweb12-0000wb-66-22102,10
clueweb12-0000wb-66-23840,24
clueweb12-0000wb-66-33308,87
clueweb12-0000wb-66-33658,66
clueweb12-0000wb-67-10655,17
clueweb12-0000wb-67-15163,13
clueweb12-0000wb-67-19255,64
clueweb12-0000wb-67-34014,74
clueweb12-0000wb-68-02512,33
clueweb12-0000wb-70-15174,86
clueweb12-0000wb-70-17635,14
clueweb12-0000wb-71-19842,49
clueweb12-0000wb-74-21189,77
clueweb12-0000wb-75-13293,34
clueweb12-0000wb-75-17075,46
clueweb12-0000wb-75-20864,42
clueweb12-0000wb-75-29097,98
clueweb12-0000wb-76-06819,26
clueweb12-0000wb-76-21794,2
clueweb12-0000wb-76-21808,1
clueweb12-0000wb-76-33866,80
clueweb12-0000wb-76-36373,73
clueweb12-0000wb-76-38390,89
clueweb12-0000wb-76-38404,87
clueweb12-0000wb-76-38922,88
clueweb12-0000wb-76-38936,91
clueweb12-0000wb-77-06046,61
clueweb12-0000wb-77-26987,85
clueweb12-0000wb-78-12440,81
clueweb12-0000wb-78-31656,55
clueweb12-0000wb-81-18966,5
clueweb12-0000wb-83-14714,16
clueweb12-0000wb-84-02312,18
clueweb12-0000wb-84-05434,7
clueweb12-0000wb-84-32263,88
clueweb12-0000wb-85-17525,2
clueweb12-0000wb-86-27886,46
clueweb12-0000wb-87-16694,93
clueweb12-0000wb-87-26861,93
clueweb12-0000wb-88-13371,63
clueweb12-0000wb-88-25507,81
clueweb12-0000wb-89-16784,19
clueweb12-0000wb-89-16798,20
clueweb12-0000wb-90-14871,4
clueweb12-0000wb-90-14885,4
clueweb12-0000wb-90-14899,2
clueweb12-0000wb-90-27162,80
clueweb12-0000wb-90-29809,85
clueweb12-0000wb-90-34556,83
clueweb12-0000wb-90-34724,89
clueweb12-0000wb-91-11508,11
clueweb12-0000wb-91-24684,86
clueweb12-0000wb-91-24922,82
clueweb12-0000wb-92-16352,95
clueweb12-0000wb-93-02463,38
clueweb12-0000wb-94-09294,19
clueweb12-0000wb-94-19113,2
clueweb12-0000wb-95-15478,2
clueweb12-0000wb-95-19847,49
clueweb12-0000wb-95-31104,21
clueweb12-0000wb-97-08161,40
clueweb12-0000wb-97-30058,3
clueweb12-0000wb-98-25820,94
clueweb12-0000wb-99-08805,99
clueweb12-0000wb-99-19028,24
clueweb12-0000wb-99-19042,23
clueweb12-0000wb-99-29878,64
clueweb12-0001wb-00-16258,79
clueweb12-0001wb-01-16240,70
clueweb12-0001wb-02-21477,7
clueweb12-0001wb-02-37549,19
clueweb12-0001wb-03-23803,72
clueweb12-0001wb-03-31967,92
clueweb12-0001wb-04-05308,94
clueweb12-0001wb-04-10321,8
clueweb12-0001wb-04-10335,14
clueweb12-0001wb-04-22227,82
clueweb12-0001wb-04-22801,71
clueweb12-0001wb-04-24075,83
clueweb12-0001wb-04-25349,83
clueweb12-0001wb-04-25363,85
clueweb12-0001wb-04-28362,80
clueweb12-0001wb-04-31330,76
clueweb12-0001wb-05-18894,90
clueweb12-0001wb-05-19230,91
clueweb12-0001wb-06-20337,97
clueweb12-0001wb-06-34540,67
clueweb12-0001wb-07-03219,83
clueweb12-0001wb-07-21589,40
clueweb12-0001wb-08-12036,26
clueweb12-0001wb-08-17787,91
clueweb12-0001wb-10-36579,79
clueweb12-0001wb-11-15896,2
clueweb12-0001wb-13-01078,40
clueweb12-0001wb-13-04789,5
clueweb12-0001wb-14-24607,10
clueweb12-0001wb-14-34514,86
clueweb12-0001wb-15-00587,86
clueweb12-0001wb-15-04031,82
clueweb12-0001wb-15-04045,80
clueweb12-0001wb-15-05894,68
clueweb12-0001wb-15-10347,90
clueweb12-0001wb-15-18135,70
clueweb12-0001wb-15-28369,36
clueweb12-0001wb-16-11158,18
clueweb12-0001wb-16-11172,23
clueweb12-0001wb-16-17542,0
clueweb12-0001wb-16-31625,79
clueweb12-0001wb-17-26288,36
clueweb12-0001wb-19-09192,98
clueweb12-0001wb-20-16246,55
clueweb12-0001wb-22-09882,94
clueweb12-0001wb-23-07913,92
clueweb12-0001wb-23-33456,59
clueweb12-0001wb-26-06006,10
clueweb12-0001wb-26-07336,47
clueweb12-0001wb-26-08974,71
clueweb12-0001wb-26-18901,11
clueweb12-0001wb-26-18929,13
clueweb12-0001wb-27-04255,89
clueweb12-0001wb-27-08721,98
clueweb12-0001wb-27-15040,65
clueweb12-0001wb-27-21425,72
clueweb12-0001wb-27-21831,92
clueweb12-0001wb-27-24227,89
clueweb12-0001wb-27-26132,73
clueweb12-0001wb-27-26244,75
clueweb12-0001wb-27-26258,60
clueweb12-0001wb-27-30545,85
clueweb12-0001wb-27-37536,11
clueweb12-0001wb-28-00937,46
clueweb12-0001wb-28-17457,77
clueweb12-0001wb-28-17681,86
clueweb12-0001wb-28-17849,84
clueweb12-0001wb-28-17947,82
clueweb12-0001wb-29-32102,85
clueweb12-0001wb-30-16736,18
clueweb12-0001wb-30-22798,61
clueweb12-0001wb-32-04428,59
clueweb12-0001wb-32-08992,57
clueweb12-0001wb-32-15393,15
clueweb12-0001wb-32-19915,39
clueweb12-0001wb-32-35672,98
clueweb12-0001wb-35-08432,3
clueweb12-0001wb-36-30593,12
clueweb12-0001wb-37-06668,92
clueweb12-0001wb-37-08278,82
clueweb12-0001wb-37-36807,82
clueweb12-0001wb-39-04998,83
clueweb12-0001wb-39-17046,76
clueweb12-0001wb-40-32719,12
clueweb12-0001wb-42-26644,52
clueweb12-0001wb-47-03796,85
clueweb12-0001wb-47-26281,52
clueweb12-0001wb-49-07799,65
clueweb12-0001wb-49-27855,62
clueweb12-0001wb-49-33652,80
clueweb12-0001wb-49-33694,76
clueweb12-0001wb-49-34100,91
clueweb12-0001wb-50-32113,27
clueweb12-0001wb-51-03807,66
clueweb12-0001wb-53-08246,12
clueweb12-0001wb-53-08274,11
clueweb12-0001wb-53-21835,45
clueweb12-0001wb-53-25909,87
clueweb12-0001wb-53-40817,58
clueweb12-0001wb-53-40845,66
clueweb12-0001wb-55-05324,2
clueweb12-0001wb-55-22561,59
clueweb12-0001wb-55-23373,73
clueweb12-0001wb-55-25831,98
clueweb12-0001wb-57-00769,9
clueweb12-0001wb-57-23578,55
clueweb12-0001wb-57-28996,94
clueweb12-0001wb-59-36189,87
